Frame,Visibility,X,Y,Time
232,0,0,0,00:00:07.733333333333333
233,1,850,43,00:00:07.766666666666667
234,1,527,298,00:00:07.8
235,0,0,0,00:00:07.833333333333333
236,0,0,0,00:00:07.866666666666666
237,1,560,326,00:00:07.8999999999999995
238,1,576,333,00:00:07.933333333333334
239,1,596,343,00:00:07.966666666666667
240,1,865,92,00:00:08.0
241,0,0,0,00:00:08.033333333333333
242,0,0,0,00:00:08.066666666666666
243,0,0,0,00:00:08.1
244,0,0,0,00:00:08.133333333333333
245,0,0,0,00:00:08.166666666666666
246,1,601,306,00:00:08.2
247,1,903,93,00:00:08.233333333333333
248,1,903,95,00:00:08.266666666666666
249,1,916,77,00:00:08.3
250,1,916,80,00:00:08.333333333333334
251,1,922,93,00:00:08.366666666666667
252,0,0,0,00:00:08.4
253,0,0,0,00:00:08.433333333333334
254,0,0,0,00:00:08.466666666666667
255,1,641,278,00:00:08.5
256,1,642,258,00:00:08.533333333333333
257,1,642,296,00:00:08.566666666666666
258,0,0,0,00:00:08.6
259,0,0,0,00:00:08.633333333333333
260,0,0,0,00:00:08.666666666666666
261,1,668,311,00:00:08.7
262,0,0,0,00:00:08.733333333333333
263,0,0,0,00:00:08.766666666666666
264,0,0,0,00:00:08.8
265,0,0,0,00:00:08.833333333333334
266,0,0,0,00:00:08.866666666666667
267,0,0,0,00:00:08.9
268,0,0,0,00:00:08.933333333333334
269,0,0,0,00:00:08.966666666666667
270,0,0,0,00:00:09.0
271,0,0,0,00:00:09.033333333333333
272,0,0,0,00:00:09.066666666666666
273,0,0,0,00:00:09.1
274,0,0,0,00:00:09.133333333333333
275,0,0,0,00:00:09.166666666666666
276,1,922,92,00:00:09.2
277,1,768,6,00:00:09.233333333333333
278,1,770,6,00:00:09.266666666666666
279,1,705,228,00:00:09.3
280,1,700,233,00:00:09.333333333333334
281,1,700,238,00:00:09.366666666666667
282,1,751,67,00:00:09.4
283,1,876,85,00:00:09.433333333333334
284,1,875,85,00:00:09.466666666666667
285,1,720,231,00:00:09.5
286,1,737,122,00:00:09.533333333333333
287,1,732,142,00:00:09.566666666666666
288,1,726,202,00:00:09.6
289,1,726,205,00:00:09.633333333333333
290,1,723,205,00:00:09.666666666666666
291,1,721,213,00:00:09.7
292,1,717,220,00:00:09.733333333333333
293,1,823,82,00:00:09.766666666666666
294,1,718,231,00:00:09.8
295,1,813,80,00:00:09.833333333333334
296,1,813,80,00:00:09.866666666666667
297,1,806,80,00:00:09.9
298,1,546,177,00:00:09.933333333333334
299,1,798,78,00:00:09.966666666666667
300,1,790,73,00:00:10.0
301,1,786,72,00:00:10.033333333333333
302,1,786,75,00:00:10.066666666666666
303,1,503,110,00:00:10.1
304,1,493,98,00:00:10.133333333333333
305,1,486,88,00:00:10.166666666666666
306,1,766,77,00:00:10.2
307,1,760,77,00:00:10.233333333333333
308,1,761,77,00:00:10.266666666666666
309,1,705,308,00:00:10.3
310,1,451,57,00:00:10.333333333333334
311,1,446,56,00:00:10.366666666666667
